#	Country (or dependency)	Population(2016)	YearlyChange	Density(P/Km²)	Area(Km²)	WorldShare
1	China	1,382,323,332	0.46 %	147	9,390,784	18.6 %
2	India	1,326,801,576	1.2 %	446	2,972,892	17.9 %
3	U.S.	324,118,787	0.73 %	35	9,155,898	4.4 %
4	Indonesia	260,581,100	1.17 %	144	1,812,108	3.5 %
5	Brazil	209,567,920	0.83 %	25	8,349,320	2.8 %
6	Pakistan	192,826,502	2.07 %	250	770,998	2.6 %
7	Nigeria	186,987,563	2.63 %	205	910,802	2.5 %
8	Bangladesh	162,910,864	1.19 %	1,252	130,172	2.2 %
9	Russia	143,439,832	-0.01 %	9	16,299,981	1.9 %
10	Mexico	128,632,004	1.27 %	66	1,943,082	1.7 %
11	Japan	126,323,715	-0.2 %	347	364,571	1.7 %
12	Philippines	102,250,133	1.54 %	343	298,192	1.4 %
13	Ethiopia	101,853,268	2.48 %	102	999,541	1.4 %
14	Viet Nam	94,444,200	1.07 %	305	310,060	1.3 %
15	Egypt	93,383,574	2.05 %	94	995,560	1.3 %
16	Germany	80,682,351	-0.01 %	232	348,520	1.1 %
17	Iran	80,043,146	1.18 %	49	1,630,207	1.1 %
18	DR Congo	79,722,624	3.18 %	35	2,264,847	1.1 %
19	Turkey	79,622,062	1.22 %	104	769,295	1.1 %
20	Thailand	68,146,609	0.28 %	133	510,844	0.9 %
21	U.K.	65,111,143	0.61 %	269	241,959	0.9 %
22	France	64,668,129	0.42 %	118	547,571	0.9 %
23	Italy	59,801,004	0.01 %	203	294,152	0.8 %
24	Tanzania	55,155,473	3.15 %	62	885,321	0.7 %
25	South Africa	54,978,907	0.9 %	45	1,213,662	0.7 %
